"order_number","customer_key","product_key","order_date","shipping_date","due_date","sales","quantity","price"
"SO43697",10769,20,"2010-12-29","2011-01-05","2011-01-10",3578,1,3578
"SO43698",17390,9,"2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43699",14864,9,"2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43700",3502,41,"2010-12-29","2011-01-05","2011-01-10",699,1,699
"SO43701",4,9,"2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43702",16646,16,"2010-12-30","2011-01-06","2011-01-11",3578,1,3578
"SO43703",5625,20,"2010-12-30","2011-01-06","2011-01-11",3578,1,3578
"SO43704",6,6,"2010-12-30","2011-01-06","2011-01-11",3375,1,3375
"SO43705",12,7,"2010-12-30","2011-01-06","2011-01-11",3400,1,3400
"SO43706",16622,17,"2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43707",16617,17,"2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43708",9043,44,"2010-12-31","2011-01-07","2011-01-12",699,1,699
"SO43709",5352,18,"2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43710",5518,19,"2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43711",16607,19,"2011-01-01","2011-01-08","2011-01-13",3578,1,3578
"SO43712",2514,16,"2011-01-01","2011-01-08","2011-01-13",3578,1,3578
"SO43713",16602,20,"2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43714",2592,16,"2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43715",5484,19,"2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43716",5530,16,"2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43717",14250,41,"2011-01-02","2011-01-09","2011-01-14",699,1,699
"SO43718",16669,16,"2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43719",16613,17,"2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43720",2265,16,"2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43721",2591,20,"2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43722",2582,17,"2011-01-04","2011-01-11","2011-01-16",3578,1,3578
"SO43723",3521,39,"2011-01-04","2011-01-11","2011-01-16",699,1,699
"SO43724",5521,16,"2011-01-04","2011-01-11","2011-01-16",3578,1,3578
"SO43725",2259,16,"2011-01-05","2011-01-12","2011-01-17",3578,1,3578
"SO43726",3561,39,"2011-01-05","2011-01-12","2011-01-17",699,1,699
"SO43727",5608,16,"2011-01-05","2011-01-12","2011-01-17",3578,1,3578
"SO43728",16667,18,"2011-01-06","2011-01-13","2011-01-18",3578,1,3578
"SO43729",239,9,"2011-01-06","2011-01-13","2011-01-18",3400,1,3400
"SO43730",14862,9,"2011-01-06","2011-01-13","2011-01-18",3400,1,3400
"SO43731",5630,19,"2011-01-06","2011-01-13","2011-01-18",3578,1,3578
